SKU,Product_Name,Category,Current_Stock,On_Order,Forecast_Daily_Demand,Lead_Time_Days,Safety_Stock,Reorder_Point,Stock_Coverage_Days,Days_Until_Stockout,Excess_Stock,Risk_Level,Recommended_Order_Qty,Recommended_Action
SKU017,Product 017,Home Decor,95,26,12.576533212569814,12,108,274,9.621093345427232,9.621093345427232,0.0,HIGH,137.91839855083776,REORDER NOW
SKU028,Product 028,Kitchen,174,55,5.109629957262882,11,114,337,44.81733548522373,44.81733548522373,58.794070470108295,HIGH,0.0,REORDER NOW
SKU049,Product 049,Lighting,780,599,22.366471308108494,5,206,344,61.65478590715705,61.65478590715705,1061.1676434594574,LOW,0.0,OVERSTOCK
SKU025,Product 025,Storage,1124,61,2.7589749534306924,14,121,582,429.5073424013844,429.5073424013844,1025.3743506519704,LOW,0.0,OVERSTOCK
SKU047,Product 047,Home Decor,201,129,13.664836502219632,9,44,99,24.149575441052427,24.149575441052427,163.0164714800233,LOW,0.0,NO ACTION
SKU020,Product 020,Storage,1002,353,12.596497757007993,3,129,227,107.56958212818742,107.56958212818742,1188.210506728976,LOW,0.0,OVERSTOCK
SKU019,Product 019,Lighting,227,114,14.154934704676212,14,25,126,24.090538537584884,24.090538537584884,117.83091413453303,LOW,0.0,NO ACTION
SKU018,Product 018,Kitchen,235,102,22.205123698271976,8,66,184,15.176677445225206,15.176677445225206,93.3590104138242,LOW,0.0,NO ACTION
SKU016,Product 016,Furniture,255,187,12.49465699804837,11,30,129,35.375120747135284,35.375120747135284,274.5587730214679,LOW,0.0,NO ACTION
SKU015,Product 015,Storage,187,245,3.5038825053518408,9,119,265,123.29180540162574,123.29180540162574,281.46505745183345,LOW,0.0,OVERSTOCK
SKU014,Product 014,Lighting,309,334,19.15881334735755,10,130,299,33.56157755400257,33.56157755400257,321.4118665264245,LOW,0.0,NO ACTION
SKU013,Product 013,Kitchen,151,95,12.773869126066142,4,32,61,19.258064848810495,19.258064848810495,162.90452349573542,LOW,0.0,NO ACTION
SKU021,Product 021,Furniture,88,97,7.854086396884307,9,36,88,23.554617386611504,23.554617386611504,78.31322242804123,LOW,0.0,NO ACTION
SKU011,Product 011,Furniture,753,269,2.6247471301996916,3,179,247,389.37084195316214,389.37084195316214,835.1257586094009,LOW,0.0,OVERSTOCK
